date,crime,zone,summary,pio
"March 31, 2021",Collision,Zone 3,"Police from Zone 3 and EMS were dispatched to the intersection of Monastery Street and St. Thomas Street at around 2:45 p.m. on March 31 for a collision involving three vehicles. When they arrived on scene they located a male victim who had been driving his vehicle when he suffered a medical emergency. Medics transported him to the hospital in critical condition where he passed away a short time later. His wife was in the passenger seat. She was evaluated at the hospital for possible injuries. One parked and unoccupied vehicle was struck, while a second vehicle was hit when the victim's vehicle reversed into it. The male driver of that vehicle was not injured. The Collision Investigation Unit was called to the scene. The investigation has been turned back over to zone officers.",Cara Cruz
"July 3, 2019",Shooting,Zone 5,"Pittsburgh Police and EMS responded to a report of shots fired on the 7200 block of Frankstown Avenue around 11:40 p.m. Zone 2 officers found a woman with a gunshot wound to the arm. Medics transported her to a local hospita in stable condition. Police are investigating. UPDATE: A woman walked into a local hospital with a gunshot wound to the arm shortly after midnight. Accoring to the initial investigation, shots were fired around the same time as the above shooting near Frankstown and Newman Way. At this time, it is too soon to determine if the shootings are connected. Police are investigating.",Chris Togneri
"November 5, 2021",Kidnapping,All zones,"UPDATE: 11/06/21 10:23 a.m. Delon Napper has been found safe in Detroit. Troy Graham-Napper was arrested by Michigan State Police on a warrant for Interfering with Custody and Endangering the Welfare of a Child. Pittsburgh Police would like to thank the Michigan State Police Fugitive Response team for their work on this case. Original incident details: Pittsburgh Police from Zone 5 responded to the 7100 block of Idlewild Street around 7:30 p.m. for reports that a juvenile male had been taken from his mother's home by a known person who does not have custody of the child. Eight-year-old Delon Napper is described as 4 feet 3 inches tall with a thin build and short black hair. He was last seen wearing a black sweatsuit and white t-shirt traveling in a gray Subaru SUV with Michigan plates and a possible plate number of DWN6016. The vehicle may be heading to Detroit. Delon is with his father's girlfriend, Auja Pettyway, 31, and possibly his father, Troy Graham-Napper, 31. All pictured below. If you have any information please call 9-1-1 immediately.",Cara Cruz
"February 13, 2020",Multi-Vehicle Collision,Zone 5,"Pittsburgh Police officers from Zone 5 were dispatched to the 4500 block of Stanton Avenue for reports of a vehicle collision involving multiple vehicles just after midnight. Upon arrival, responding officers observed four parked vehicles that had differing degrees of damage and a Green Jeep that was stopped in the center of the right lane on the street. Officers administered standard field sobriety tests to the male driver of the Jeep after smelling a strong odor of alcohol on his breath. The driver did not pass the tests and was placed under arrest for suspicion of driving under the influence of alcohol. He was transported to Zone 6 to be breathalyzer-tested. Joshua Niese, 37, of Pittsburgh is charged with driving under the influence of alcohol or controlled substances.",Cara Cruz
"August 26, 2020",Pedestrian Hit and Run,Zone 4,"Pittsburgh Police detectives from Zone 4 are searching for the driver of a vehicle involved in a hit and run incident with a pedestrian who is pregnant. On August 20 at approximately 4:20 p.m., a female walking southbound on the sidewalk on East End Avenue was waiting to cross the street inside a crosswalk at Tuscarora Street when she observed a Ford Mustang that appeared to be slowing down at the stop sign, allowing her to cross. The female says she stepped into the crosswalk, but instead of stopping, the vehicle struck her with enough force to push her up on the hood of the car. When it stopped she fell off and struck her head on the pavement. She told police a male driver exited briefly and yelled at her. When she told him she was going to call police, the male got back into the vehicle and turned left on to East End Avenue toward Brashear Street at a high rate of speed. The vehicle is described by two witnesses as a Gray Ford Mustang with black racing stripes, like the one pictured below. The driver is described as between 20 to 30 years of age. A female with long hair was in the vehicle’s passenger seat. Anyone with information is asked to call Zone 4 detectives at (412) 422-6520.",Cara Cruz
"May 8, 2019",,,: Alicia George,
"November 26, 2019",Unusual,Zone 3,"Just after 1 p.m. there was a 911 call to 2729 S. 18th Street, St. Michael's Cemetery, for a male who had been pinned by a tombstone. Pittsburgh Police officers from Zone 3 were first on scene to find a 47-year-old male who was on the ground underneath a tombstone that is estimated to weigh about 400 pounds. The stone was sitting on his back from underneath his head, down to his abdomen. His head and lower body were not impacted. Two police officers and another male, a civilian, were able to lift it off of the man, who was conscious and breathing. Pittsburgh Bureau of Fire measured his vital signs until EMS arrived. The man was visting the cemetery with his mother when he lost his balance and he grabbed on to the tombstone, which toppled onto him. His mother says he has special needs and is primarily non-verbal, but EMS was able to assess his condition using various tests. He had suffered some minor bruising and was transported to Mercy Hospital in stable condtion.",Cara Cruz
"June 8, 2020",Missing Person,All Zones,"Pittsburgh Police Special Victims Unit seeks the public's assistance in locating a missing 74-year-old male with medical issues. Leslie Lampkin is described as 5 feet 7 inches tall with a thin build. He was wearing a black suit with dress shoes, and possibly carrying a briefcase when he was last seen. Lampkin uses public transportation frequently and he could be in East Liberty, Mount Oliver, or the North Side. He was last seen on June 8 at 4:00 p.m. leaving the Saloon on the 1600 block of Brownsville Road with an unknown older male. If seen, please call 911 or SVU detectives at (412) 323-7141.",Cara Cruz
"September 3, 2021",Shooting/Homicide,Zone 6,"UPDATE: 10:27 a.m. 09/04/21 Police arrested Darrell Mutzig, 37, of Pittsburgh. He's charged with Criminal Homicide and Aggravated Assault. Original incident details: Pittsburgh Police from Zone 6 responded to 9-1-1 calls for a male shot on the 1000 clock of Hampshire Avenue just before 11 p.m. Officers located a male victim with a gunshot wound to the chest and rendered aid until medics arrived. He was transported to the hospital in critical condition and later pronounced deceased. Not long after the initial shooting, police received reports of a male with a gun on nearby Alton Street. Two males at that location were taken to police headquarters for questioning. Detectives from Major Crimes and the Crime Scene Unit are investigating. The investigation is ongoing.",Cara Cruz
"November 30, 2019",Stabbing/Domestic,Zones 1 &amp; 2,"Pittsburgh Bureau of Police officers responded to UPMC Mercy Hospital on November 30 for a male stabbing victim who had arrived there in critical condition by private means just after 4:30 a.m. Upon further investigation by detectives in the Violent Crimes Unit, it was learned the male's injuries were incurred during an earlier dispute inside an apartment on the 200 block of Heinz Street on the city’s North Side. During that altercation, a female victim also received injuries. After consultation with the Allegheny County District Attorney’s Office, police have arrested two people believed to be mutual combatants in this incident. Shalaya Briston, 24, of Munhall, PA was arrested and has been charged with Criminal Attempt Homicide and Aggravated Assault. In addition, police have arrested Terrelle Pryor, 30, of Pittsburgh, PA. He faces a charge of Simple Assault. The Pittsburgh Bureau of Police understands there is a heightened level of interest in this case, but Police will not be conducting interviews or holding a news conference at this time. Original incident details: https://pittsburghpa.gov/publicsafety/blotterview.html?id=401",Cara Cruz
