headline,link,date,author,description,tags
Vote for your favorite Lightning Talks,https://www.ire.org/vote-for-your-favorite-lightning-talks-2/,"February 14, 2020",Erica Martin,Thanks to everyone who submitted a Lighting Talk idea for the 2020 NICAR Conference. Now it’s time to narrow the more than 45 ideas down to the 10 talks we’ll […],"lightning talks, NICAR Conference, NICAR20"
IRE Radio Podcast | Broken Breath Tests,https://www.ire.org/ire-radio-podcast-broken-breath-tests/,"February 11, 2020",Erica Martin,Police rely on alcohol breath tests to convict drunken drivers. But what happens when the machines they use aren’t reliable? Stacy Cowley of The New York Times looked into the […],Podcast
25 journalists receive IRE fellowships,https://www.ire.org/25-journalists-receive-ire-fellowships/,"February 10, 2020",Erica Martin,"Thanks to the generosity of financial supporters, IRE is fortunate to have funding available to provide fellowships for financial assistance to its Data Journalism Bootcamps and annual NICAR Conference. This […]","fellowships, scholarships"
IRE board supports release of jailed journalist in Benin,https://www.ire.org/ire-board-supports-release-of-jailed-journalist-in-benin/,"February 6, 2020",Erica Martin,"The board of Investigative Reporters and Editors joins other journalism organizations in support of the immediate release of Ignace Sossou, who is serving an 18-month prison sentence for doing his […]","international reporting, press freedom"
Ronan Farrow to give IRE20 keynote speech,https://www.ire.org/ronan-farrow-to-give-ire20-keynote-speech/,"February 4, 2020",Erica Martin,"Acclaimed journalist Ronan Farrow will deliver the 2020 keynote address at the IRE national investigative journalism conference in June. The conference, featuring nearly 400 speakers and 200 sessions, will take […]","IRE Conference, IRE20, keynote"
Submit your NICAR20 Lightning Talk ideas,https://www.ire.org/submit-your-nicar20-lightning-talk-ideas/,"January 30, 2020",Erica Martin,"Submissions are now open for Lightning Talks to be featured at #NICAR20 in New Orleans! Lightning Talks, which take place on the Friday afternoon of the conference, are five-minute talks […]","lightning talks, NICAR20"
IRE hires Madison Fleck as Editorial Director,https://www.ire.org/ire-hires-madison-fleck-as-editorial-director/,"January 28, 2020",Erica Martin,"Multimedia journalist Madison Fleck has been named IRE’s new Editorial Director. Since May 2017, Fleck has worked at ABC 17 in Columbia, Missouri, as a producer and content editor. She […]",IRE Staff
Malan promoted to IRE deputy executive director,https://www.ire.org/malan-promoted-to-ire-deputy-executive-director/,"January 16, 2020",Erica Martin,"Denise Malan has been named IRE’s deputy executive director. In her expanded role, Malan will oversee all of IRE’s training programs, event logistics and the IRE Resource Center. “As IRE […]",IRE Staff
"2020 San Juan, Puerto Rico, Watchdog Workshop",https://www.ire.org/2020-san-juan-puerto-rico-watchdog-workshop/,"January 15, 2020",Erica Martin,"Read in English Presentado por: Centro de Periodismo Investigativo (CPI) El IRE ofrecerá varias de sus sesiones de trabajo principales, diseñadas para mejorar tu habilidad de buscar en forma rápida […]","Puerto Rico, Watchdog Workshop"
2019 Philip Meyer Award winners announced,https://www.ire.org/2019-philip-meyer-award-winners-announced/,"January 15, 2020",Erica Martin,A sophisticated investigation that used machine learning to track hidden evidence connected to the opioid epidemic is the first-place winner in the 2019 Philip Meyer Journalism Awards. Other top awards […],2019 Philip Meyer Awards
IRE Radio Podcast | Fighting Fentanyl,https://www.ire.org/ire-radio-podcast-fighting-fentanyl/,"January 13, 2020",Erica Martin,"Opioid addiction is a decades-long crisis that killed roughly 47,000 people in 2017 alone, largely due to the potency of fentanyl. But despite all the warning signs, Congress didn’t pass […]","Drugs, opioid, Podcast"
Will you join the community of IRE donors?,https://www.ire.org/will-you-join-the-community-of-ire-donors/,"December 24, 2019",Erica Martin,Live in the kind of world only journalism can provide. Give your year-end tax-deductible donation to IRE to empower and train reporters in your backyard and around the world. IRE […],
IRE office closed until Jan. 2,https://www.ire.org/ire-office-closed-until-jan-2-2/,"December 20, 2019",Erica Martin,"The IRE and NICAR offices will be closed Tuesday, Dec. 24, through Wednesday, Jan. 1. The University of Missouri is on winter break leave during this time. We appreciate your […]",
IRE bringing educator bootcamps to three locations,https://www.ire.org/ire-bringing-educator-bootcamps-to-three-locations/,"December 18, 2019",Erica Martin,"IRE will provide coast-to-coast training opportunities for college educators and students as part of the new IRE on Campus program. Educator bootcamps will take place in Tucson, Chicago and Syracuse. […]","bootcamp, Educators, Training"
IRE Radio Podcast | SPECIAL: Rediscovering Don Bolles,https://www.ire.org/ire-radio-podcast-special-rediscovering-don-bolles/,"December 11, 2019",Erica Martin,"Investigative Reporters and Editors was formed in 1975, the year before Arizona Republic reporter Don Bolles was killed by a car bomb. He died days before he was scheduled to […]","Don Bolles, history, Podcast"
3 journalists receive IRE Journalist of Color Investigative Reporting Fellowship,https://www.ire.org/3-journalists-receive-ire-journalist-of-color-investigative-reporting-fellowship/,"December 10, 2019",Erica Martin,"Sameea Kamal of the Los Angeles Times, Josh McGhee from The Chicago Reporter and Monica Velez of The Fresno Bee will serve as IRE’s 2020 Journalists of Color Investigative Reporting […]","diversity, fellowship"
Nine journalists receive IRE fellowships,https://www.ire.org/nine-journalists-receive-ire-fellowships-2/,"December 9, 2019",Erica Martin,"Thanks to the generosity of many, IRE is fortunate to have funding to help journalists and educators attend its data journalism boot camps.  This month, IRE awarded nine fellowships for […]","fellowship, scholarships"
Call for entries: 2019 IRE Awards,https://www.ire.org/call-for-entries-2019-ire-awards/,"December 9, 2019",Erica Martin,"It’s time to gather your best stories of the year! The 2019 IRE Awards contest is now open for submissions, and we can’t wait to see what you’ve done. You’ll notice some […]",
10 newsrooms selected for free Total Newsroom Training,https://www.ire.org/10-newsrooms-selected-for-free-total-newsroom-training/,"December 5, 2019",Erica Martin,"Ten newsrooms have been chosen to receive custom watchdog training in the coming year through IRE’s Total Newsroom Training program. TNT provides two days of intensive, in-house training for small […]","otal Newsroom Training, Training"
IRE promotes Hutchins as fifth full-time trainer,https://www.ire.org/ire-promotes-hutchins-as-fifth-full-time-trainer/,"December 2, 2019",Erica Martin,"IRE Editorial Director Sarah Hutchins has been promoted to training director, becoming the organization’s fifth full-time trainer. She will join the largest training team in IRE’s history, led by Senior […]",IRE Staff
Open call for IRE Award screeners,https://www.ire.org/open-call-for-ire-award-screeners-3/,"November 25, 2019",Erica Martin,"Want to get more involved with IRE but aren’t sure how? Consider volunteering your time as an IRE Awards screener. As a screener, you'll be part of a team of journalists […]","2019 IRE Awards, Call for screeners, IRE Awards"
Share your ideas for the 2020 IRE Conference,https://www.ire.org/share-your-ideas-for-the-2020-ire-conference/,"November 18, 2019",Erica Martin,IRE wants your ideas for the upcoming IRE Conference in Metro D.C. next June. We’re also starting an email list so you can keep up with news about the conference. Use this […],"IRE Conference, IRE20"
IRE hiring Editorial Director; apply by Dec. 4,https://www.ire.org/editorjob/,"November 11, 2019",Erica Martin,"IRE is seeking a journalist to work full time as Editorial Director at its headquarters at the University of Missouri. IRE’s current Editorial Director, Sarah Hutchins, is being promoted to […]",jobs
IRE Radio Podcast | BONUS: Telling an Unbelievable Story,https://www.ire.org/ire-radio-podcast-bonus-telling-an-unbelievable-story/,"November 8, 2019",Erica Martin,"On this bonus episode, we’re sharing audio from the 2016 IRE Conference. In a session on narrative storytelling, reporters T. Christian Miller and Ken Armstrong explain how they wrote their […]","udio, crime, Podcast, sexual assualt"
Three journalists awarded IRE Freelance Fellowships,https://www.ire.org/three-journalists-awarded-ire-freelance-fellowships/,"October 28, 2019",Erica Martin,"Projects investigating an insular religious community, Columbia River tribe nations, and the Palm Beach prostitution raid have been awarded IRE Freelance Fellowships. The recipients of the 2019 competition are: Sarah […]","fellowship, Freelance Fellowship, independent journalist"
